case,split,digit,whole,zeros,layer,control,source_margin,target_margin,patched_margin,margin_effect,target_correct,patched_correct,model,revision
0,discovery,1,34,3,10,number_tokens,26.625,23.125,5.75,-17.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,10,random_positions,26.625,23.125,22.875,-0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,11,answer_position,26.625,23.125,23.375,0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,11,number_tokens,26.625,23.125,-5.5,-28.625,True,False,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,11,random_positions,26.625,23.125,23.0,-0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,12,answer_position,26.625,23.125,23.25,0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,12,number_tokens,26.625,23.125,5.5,-17.625,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,12,random_positions,26.625,23.125,22.875,-0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,13,answer_position,26.625,23.125,23.125,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,13,number_tokens,26.625,23.125,15.5,-7.625,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,13,random_positions,26.625,23.125,23.125,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,14,answer_position,26.625,23.125,23.125,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,14,number_tokens,26.625,23.125,21.75,-1.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
