id,case,template,whole,digit,zeros,control,layer,model,revision,hard_margin,patched_margin,margin_effect,hard_correct,patched_correct,patched_token_count
causal-gen-004,4,relation_statements,105,4,1,easy_short_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-4.125,3.25,7.375,False,True,5
causal-gen-004,4,relation_statements,105,4,1,donor_padded_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-4.125,-4.125,0.0,False,False,6
causal-gen-004,4,relation_statements,105,4,1,donor_short_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-4.125,-9.125,-5.0,False,False,5
causal-gen-004,4,relation_statements,105,4,1,easy_padded_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-4.125,-3.5,0.625,False,False,6
causal-gen-004,4,relation_statements,105,4,1,easy_short_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-4.125,-4.25,-0.125,False,False,5
causal-gen-004,4,relation_statements,105,4,1,donor_padded_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-4.125,-4.375,-0.25,False,False,6
causal-gen-004,4,relation_statements,105,4,1,donor_short_random,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-4.125,-4.25,-0.125,False,False,5
causal-gen-005,5,relation_statements,106,5,1,easy_padded_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-1.25,6.9375,8.1875,False,True,6
causal-gen-005,5,relation_statements,106,5,1,easy_short_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-1.25,4.875,6.125,False,True,5
causal-gen-005,5,relation_statements,106,5,1,donor_padded_tokens,7,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,-1.25,-1.25,0.0,False,False,6
